1	34795821	34795988
1	106498085	106498165
1	57721688	57721767
1	301872754	301872883
1	242988419	242988509
1	72856319	72856638
1	293620460	293620565
1	179916336	179916420
1	127732439	127732541
1	225810904	225810987
1	279154851	279154953
1	236024600	236024719
1	290264266	290264368
1	139452088	139452222
1	182119632	182119767
1	190573326	190573432
1	33051968	33052106
1	142659847	142659964
1	127843476	127843799
1	88425883	88425957
1	43421792	43421898
1	58168641	58168722
1	240597053	240597372
1	57787745	57787879
1	142822094	142822162
1	158009613	158009704
1	177629350	177629655
1	212688379	212688468
1	299322152	299322231
1	104994547	104994849
1	199304940	199305046
1	221525688	221525794
1	221411533	221411639
1	73712922	73713012
1	212654386	212654476
1	125690008	125690150
1	248572258	248572387
1	225466186	225466289
1	144993207	144993309
1	157991388	157991469
1	271202635	271202745
1	26578924	26579017
1	155634589	155634692
1	263310899	263311005
1	76147918	76148035
1	264105054	264105311
1	256462196	256462307
1	81984497	81984603
1	183543999	183544105
1	108870538	108870683
1	280595902	280595992
1	52918792	52918896
1	50115626	50115740
1	30733069	30733164
1	259384335	259384475
1	127993025	127993348
1	182228376	182228447
1	110495338	110495519
1	302806847	302806943
1	35489275	35489549
1	225743008	225743136
1	193557096	193557229
1	145914448	145914554
1	51670291	51670379
1	156558100	156558206
1	285372741	285372813
1	151649745	151649891
1	200101914	200102210
1	257231307	257231399
1	299437720	299437827
1	101194636	101194803
1	142625792	142625891
1	148820598	148820700
1	197006398	197006504
1	181009870	181009956
1	303267226	303267313
1	63644750	63644846
1	157930094	157930173
1	123881298	123881401
1	145508422	145508560
1	242912773	242912879
1	176515236	176515326
1	1952604	1952690
1	9392134	9392273
1	160966422	160966513
1	63340058	63340213
1	12300421	12300539
1	157925840	157925920
1	313851227	313851349
1	165272216	165272297
1	264451026	264451126
1	200006512	200006808
1	182174365	182174496
1	54881826	54881932
1	191549679	191549778
1	108870765	108870847
1	157993113	157993193
1	70861177	70861274
1	34439283	34439412
1	120448013	120448097
1	155743426	155743571
1	41992344	41992658
1	205326510	205326605
1	8908400	8908526
1	189900226	189900360
1	186711473	186711607
1	244532180	244532474
1	300996768	300996874
1	181108839	181108964
1	311163846	311163952
1	236901864	236902174
1	189254399	189254479
1	154815741	154815847
1	235937259	235937378
1	171074544	171074666
1	271802053	271802157
1	199694422	199694718
