# USE TAB AS SEPARATOR, START A ROW WITH '#' FOR COMMENTS
# GENE ID	# SOURCE ID (OPTIONAL, ALL ARE USED IF MISSING)
# No spAces or lower cAse letters Allowed in seed Genes tsv
GSCOC_T00011062001
GSCOC_T00019870001
GSCOC_T00036338001
MA05_G00390
MA08_G06060
MA06_G14420
MA02_G24600
MA03_G18620
MA06_G12680
MA09_G24400
MA10_G00760
MA08_G07740
MA10_G22670
MA09_G05660
MA05_G00400
